Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Margerie Glacier	Porcupine	Skagway-Yakutat-Angoon	AK	-137.087	59.013	20c	Porphyry Cu-Au			Porphyry Cu	1960		no		no	no	no	no	no															no	no	no	no	no	no							AKPC	AK501	34					
Marshall - Anvik	Marshall - Anvik	Wade-Hampton	AK	-161.500	61.917	39a	Placer Au-PGE	39b	Placer PGE		1913	1913-1965			"123,300"	"12,700"	no	no	no		"Cobb, 1973; Nokleberg and others, 1987"														3.8	0.4	no	no	no							AKPL	AK755	66					
McGrath - McKinley	McGrath - McKinley	Yukon-Koyokuk	AK	-155.000	62.750	39a	Placer Au-PGE				1910	1910-1967			"129,000"	"25,000"	no	no	no		"Bundtzen and Miller, 1997"														4.1	0.8	no	no	no							AKPL	AK753 AK755	47					
Midas	Prince William Sound	Valdez-Cordova	AK	-146.274	61.013	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1901	1911-1919	"49,350"	short t	"2,540"	"15,143"	"3,300,000"	no	no		"Nokleberg and others, 1987"			"61,950"	unk	unk	1.6	neg	neg		"Nokleberg and others, 1987"			45	0.08	0.5	1.5	no	no	56	unk	unk	0.9	neg	neg	AKBS	AK618	06					
Nabesna	Chisana - Nabensa	Valdez-Cordova	AK	-143.016	62.377	18f	"Skarn, Au"			"Cu, Au, and Pb-Zn skarn"	1925	1930-1941	"88,000"	short t	"66,500"	unk	unk	no	no		"Nokleberg and others, 1987"													80	2.1	unk	unk	no	no							AKSK	AK535	83					
Niblack	Ketchikan	Prince of Wales and Outer Ketchikan	AK	-132.147	55.067	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	by 1902	1902-1909			"11,000"	"15,000"	"1,400,000"	no	no		"Nokleberg and others, 1987"	1997	"1,800,000"	short t	0.12	1.4	1.5	unk	2.6		"SEGN#30, p. 31"	Resource at Lookout Zone.	Abacus Minerals		0.3	0.5	0.6	no	no	"1,600"	7	77	25	unk	43	AKKU	AK666	31				Yes	
Nixon Fork	Innoko - Tolstoi	Yukon-Koyokuk	AK	-154.758	63.236	18b	"Skarn, Cu"			"Cu, Au, and Pb-Zn skarn"	1918	1919-1996	"83,000"	short t	"106,900"	unk	no	no	no		"Bundtzen and others, 1996; Consolidated Nevada Goldfields 1996 SEC Form 10K"	1996	"121,375"	metric t	39.91	unk	unk	no	no		Consolidated Nevada Goldfields 1996 SEC Form 10K		Consolidated Nevada Goldfields	75	3.3	unk	no	no	no	121	5	unk	unk	no	no	AKSK	AK533B	81		Yes	Oct-95		Consolidated Nevada Goldfields SEC Form 10K
Nizina	Nizina	Valdez-Cordova	AK	-142.750	61.333	39a	Placer Au-PGE				1901	1901-1968			"143,000"	unk	no	no	no		"Cobb, 1973; Yeend and Shawe, 1989"														4.5	unk	no	no	no							AKPL	AK756	68					
Nome	 Cape Nome	Nome	AK	-165.500	64.500	39a	Placer Au-PGE				1897	1897-1995			"4,874,449"	unk	no	no	no		"Bundtzen and others, 1996"	1989	"142,740,000"	cu yds	0.01	unk	no	no	no		Alaska Gold 1989 SEC Form 10K; Inspiration Resources 1989 SEC Form 10K	"From 1989 to 1995, 132,072 oz Au produced."	Alaska Gold		151.6	unk	no	no	no		31	unk	no	no	no	AKPL	AK753	54		Yes			Alaska Gold SEC Form 10K
Nunatak (Muir Inlet)	Porcupine	Skagway-Yakutat-Angoon	AK	-136.103	58.988	21b	"Porphyry Mo, low-F"				1941		no		no	no	no	no	no			1978	"137,500,000"	short t	unk	unk	0.2	no	no	0.027% Mo	"Nokleberg and others, 1987"			no	no	no	no	no	no	"119,500"	unk	unk	213	no	no	AKPC	AK501	35					
Orange Hill	Chisana - Nabensa	Valdez-Cordova	AK	-142.842	62.206	21a	Porphyry Cu-Mo			Porphyry Cu	late 1890s		no		no	no	no	no	no			1975	"353,000,000"	short t	0.005	0.01	0.4	no	no	0.02% Mo	"Richter and others, 1975"			no	no	no	no	no	no	"320,000"	55	110	"1,121"	no	no	AKPC2	AK516	43					
Pebble Beach	Iliamna - Bristol Bay	Lake and Peninsula	AK	-155.296	59.898	20c	Porphyry Cu-Au			Porphyry Cu	1989		no		no	no	no	no	no			1992	"462,000,000"	short t	0.01	unk	0.4	no	no		"Bundtzen and others, 1996"	Estimated resources include 136 kt Mo.	Cominco	no	no	no	no	no	no	"419,000"	172	unk	"1,467"	no	no	AKPC	AK519	40				Yes	Cominco Annual Report; www.cominco.com
Porcupine Creek	Porcupine	Haines	AK	-136.130	59.333	39a	Placer Au-PGE				1898	1898-1985			"61,000"	unk	no	no	no		"Nokleberg and others, 1987"														1.9	unk	no	no	no							AKPL	AK761	72					
Pyramid	Kodiak - Unga Island	Dillingham	AK	-160.667	55.625	21a	Porphyry Cu-Mo			Porphyry Cu	1974		no		no	no	no	no	no				"110,000,000"	metric t	unk	unk	0.4	no	no	0.03% Mo	"Nokleberg and others, 1995"			no	no	no	no	no	no	"110,000"	unk	unk	440	no	no	AKPC	AK520	41					
Quigley Ridge (Little Annie)	Kantishna	Denali	AK	-150.947	63.543	22c	"Vein, polymetallic"	36a	Low sulfide Au-quartz vein	Polymetallic vein and replacement	1918	1919-1921	725	short t	75	"117,305"	no	"148,400"	no		"Bundtzen and others, 1976"		"380,000"	metric t	4.70	"1,300"	unk	6.3	2.3		"Nokleberg and others, 1993"			1	neg	3.7	no	neg	no	380	1.8	494.0	unk	24	9	AKPV	AK564B	78					
Rampart	Rampart	Yukon-Koyokuk	AK	-150.000	65.500	39a	Placer Au-PGE				1882	1882-1961			"87,000"	unk	no	no	no		"Cobb, 1973; Nokleberg and others, 1987"														2.7	unk	no	no	no							AKPL	AK754	61					
Red Dog	Lisburne	Northwest Arctic	AK	-162.824	68.067	31a	Sedimentary exhalative Zn-Pb			Sedimentary exhalative Zn-Pb-Ag	1968	1989-1996	"13,223,900"	short t	unk	"19,869,000"	unk	"621,719,000"	"4,001,088,000"		Cominco 1989-96 Annual Reports	1996	"157,050,000"	short t	unk	2.2	unk	10.3	15.5		"Bundtzen and others, 1996"		Cominco - NANA Regional	"11,997"	unk	618	unk	282	"1,815"	"142,400"	unk	"10,750"	unk	"14,700"	"22,000"	AKSX	AK692	85		Yes			Cominco Annual Report; www.cominco.com
Reef Ridge	Innoko - Tolstoi	Yukon-Koyokuk	AK	-155.000	62.750	32c	Kipushi Cu	32	Mississippi Valley				no		no	no	no	no	no				"1,800,000"	metric t	unk	unk	unk	unk	6.5	Cadmium	"Schmidt, 1997"			no	no	no	no	no	no	"1,800"	unk	unk	unk	unk	117	AKKC	AK714D	23					
Rock Creek	Cape Nome	Nome	AK	-165.410	64.610	36a	Low sulfide Au-quartz vein	22c	"Vein, polymetallic"	Low sulfide Au-quartz vein			no		no	no	no	no	no				"11,000,000"	short t	0.07	unk	no	no	no		"Bundtzen and others, 1996"		Bearing Straits - Alaska Gold	no	no	no	no	no	no	"10,000"	25					AKGQ	AK721	12					
Ruby	Ruby - Poorman	Yukon-Koyokuk	AK	-154.333	64.417	39a	Placer Au-PGE				1907	1931-1995			"476,751"	unk	no	no	no		"Bundtzen and others, 1996"												Swift Creek Mining - Ruby Mining - Malvy Technology		14.8	unk	no	no	no							AKPL	AK753	55		Yes			
Ryan Lode	Fairbanks	Fairbanks-North Star	AK	-147.986	64.868	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein	1911	1986-1990	"328,600"	short t	"19,521"	"13,330"	no	no	no		La Teko Resources 1986-90 SEC Form 20F	1994	unk		unk	unk	no	no	no		"Bundtzen and others, 1996"	"Geologic resource of 2,400,000 oz Au in total shear zone system."	La Teko Resources	298	0.6	0.4	no	no	no	unk	74.5	unk	no	no	no	AKGQ	AK741	21			Jun-97		LaTeko Resources SEC Form 10K
Salt Chuck	Ketchikan	Prince of Wales and Outer Ketchikan	AK	-132.558	55.633	7a	Synorogenic-synvolcanic Ni-Cu		Gabbroic Ni-Cu	Magmatic sulfide	1906	1909-1941	"325,000"		"11,500"	"56,000"	"5,000,000"	no	no	"20,000 oz platinum group metals"	"Bundtzen and others, 1996; Watkinson and Melling, 1992"													295	0.4	1.7	2.3	no	no							AKMA		89					
Sheep Creek	Bonnifield	Yukon-Koyokuk	AK	-148.280	63.900	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide			no		no	no	no	no	no				"6,000,000"	short t	unk	0.3	unk	0.6	1.4		"Newberry and others, 1997"			no	no	no	no	no	no	"5,400"	unk	56	unk	33	76								
Shellabarger Pass	Yentna - Cache Creek	Matanuska-Susitna	AK	-152.789	62.561	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1967		no		no	no	no	no	no				"several 100,000"	short t	.006 to .15	0.9 to 2.4	1 to 1.5	<0.5	0.8 to 1.7		"Reed and Eberlein, 1972; Nokleberg and others, 1987"	Potentially significant resource.		no	no	no	no	no	no	unk	unk	unk	unk	unk	unk	AKBS	AK616	02					
Shumagin (Choumagin)	Kodiak - Unga Island	Dillingham	AK	-160.580	55.224	25	"Epithermal vein, quartz-adularia"			"Creede, Comstock and Sado epithermal vein"	1890s		no		no	no	no	no	no				"540,000"	metric t	10.40	34.3	no	no	no		"Nokleberg and others, 1987"		Alaska Apollo Resources	no	no	no	no	no	no	540	5.6	18.5	no	no	no	AKEV	AK644	09				Yes	Alaska-Apollo Resources SEC Form 10K
Smucker	Squirrel River (Ambler)	Northwest Arctic	AK	-157.200	67.300	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1965		no		no	no	no	no	no				"7,200,000"	short t	0.04	5.6	0.5	1.7	4.9		"Newberry and others, 1997"			no	no	no	no	no	no	"6,500"	9	"1,252"	33	112	320	AKKU	AK661	25					
Spruce Creek	Kantishna	Yukon-Koyokuk	AK	-151.583	63.583	22c	"Vein, polymetallic"	36a	Low sulfide Au-quartz vein	Polymetallic vein and replacement			no		no	no	no	no	no				"77,000"	metric t	2.40	276.0	unk	unk	unk	2.5% Pb+Sn; Antimony	"Nokleberg and others, 1987"			no	no	no	no	no	no	77	0.2	21	unk	unk	unk	AKPV	AK566	79					
Sumdum	Petersburg - Sumdum	Skagway-Yakutat-Angoon	AK	-133.437	57.774	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1958		no		no	no	no	no	no				"26,700,000"	short t	unk	0.3	0.6	unk	0.4		"Bundtzen and others, 1996"			no	no	no	no	no	no	"24,000"	unk	249	138	unk	90	AKKU	AK667	33					
Sun	Squirrel River (Ambler)	Northwest Arctic	AK	-155.020	67.070	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1974		no		no	no	no	no	no				"13,500,000"	short t	0.02	3.1	1.7	0.9	5.4		"Newberry and others, 1997"			no	no	no	no	no	no	"12,250"	8	"1,293"	202	112	658	AKKU	AK661	26					
Sunshine Creek	Squirrel River (Ambler)	Northwest Arctic	AK	-156.632	67.219	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide			no		no	no	no	no	no				">4,000,000"	short t	unk	1.0	2.0	unk	3.0		"Newberry and others, 1997"			no	no	no	no	no	no	"3,600"	unk	124	73	unk	109								
Taurus	Fortymile	Southeast Fairbanks	AK	-141.324	63.521	21a	Porphyry Cu-Mo			Porphyry Cu	1970		no		no	no	no	no	no				"450,000,000"	metric t	unk	unk	0.5	no	no	0.07% Mo	"Nokleberg and others, 1987"		Lodestar Exploration	no	no	no	no	no	no	"450,000"	unk	unk	"2,250"	no	no	AKPC	AK515	36				Yes	
Tolstoi	Innoko - Tolstoi	Yukon-Koyokuk	AK	-156.980	62.880	39a	Placer Au-PGE				1907	1915-1967			"110,900"	"10,800"	no	no	no		"Bundtzen and Miller, 1997"														3.5	0.3	no	no	no														
Treadwell mines	Juneau - Admiralty	Juneau	AK	-134.375	58.267	36a	Low-sulfide Au-quartz vein			Low sulfide Au-quartz vein	1881	1882-1922	"29,000,000"	short t	"3,200,000"	unk	no	unk	no		"Light and others, 1989"													"26,000"	100	unk	no	unk	no							AKGQ	AK729	18					
True North	Fairbanks	Fairbanks-North Star	AK	-147.560	65.053	36a	Low-sulfide Au-quartz vein			Low sulfide Au-quartz vein	by 1912		no		no	no	no	no	no			1995	"14,955,000"	short t	0.06	unk	no	no	no		La Teko 1996 SEC Form 10K	Total geologic resource.	Newmont Gold - La Teko Resources	no	no	no	no	no	no	"13,567"	29	unk	no	no	no						Development decision underway		Newmont Gold and La Teko Resources SEC Form 10K
Valdez Creek (Denali)	Valdez Creek	Matanuska-Susitna	AK	-143.500	63.000	39a	Placer Au-PGE				1903	1908-1995			"508,454"	unk	no	no	no		"Bundtzen and others, 1996"												Cambior		15.8	unk	no	no	no							AKPL	AK756	69		Shut down 3Q 1995	Reclaimed 1996		Cambior annual report; www.cambior.com
Vinasale Mountain	McGrath - McKinley	Yukon-Koyokuk	AK	-155.718	62.703		Porphyry Au						no		no	no	no	no	no				"16,000,000"	metric t	2.14	unk	no	no	no	Antimony	"Nokleberg and others, 1995"			no	no	no	no	no	no	"16,000"	34	unk	no	no	no	AKPV	AK773A	80				Yes	
Willow Creek	Willow Creek - Hatcher Pass	Matanuska-Susitna	AK	-149.000	61.667	39a	Placer Au-PGE				1897	1897-1960			"90,000"	unk	no	no	no		"Cobb, 1973; Nokleberg and others, 1987"														2.8	unk	no	no	no							AKPL	AK756	70					
Willow Creek -Independence - Lucky Shot - War Baby	Willow Creek - Hatcher Pass	Matanuska-Susitna	AK	-149.500	61.750	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein	1907	1919-1983			"606,400"	unk	unk	unk	unk		"Bundtzen and others, 1996"												Soloman Resources		18.9	unk	unk	unk	unk							AKGQ	AK731	19					
Win-Won (Cloudy Mountain)	Innoko - Tolstoi	Yukon-Koyokuk	AK	-156.070	63.220	20b	"Vein, polymetallic, Ag-Sn"						no		no	no	no	no	no				"1,937,060"	metric t							"Bundtzen and Miller, 1997"	"Resource also contains 11,476 metric t tin."		no	no	no	no	no	no	"1,937"	unk	90	2	no	no								
Wiseman (Koyukuk)	Koyukuk - Nolan	Yukon-Koyokuk	AK	-150.750	67.250	39a	Placer Au-PGE				by 1890	1893-1995			"340,152"	unk	no	no	no		"Bundtzen and others, 1996"											Significant deep placer resources remain.			10.6	unk	no	no	no		sig					AKPL2	AK752	74					
WTF	Bonnifield	Yukon-Koyokuk	AK	-147.367	63.933	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide			no		no	no	no	no	no				"1,200,000"	short t	0.06	8.0	0.2	3.5	7.9		"Newberry and others, 1997"			no	no	no	no	no	no	"1,100"	2	299	2	38	86								
Yentna	Yentna - Cache Creek	Matanuska-Susitna	AK	-151.000	62.333	39a	Placer Au-PGE				1905	1905-1967			"114,000"	unk	no	no	no		"Cobb, 1973; Yeend and Shawe, 1989"														3.6	unk	no	no	no							AKPL	AK756	71					
Zackly	Chistochina	Matanuska-Susitna	AK	-146.700	63.217	18f	"Skarn, Au"			"Cu, Au, and Pb-Zn skarn"			no		no	no	no	no	no			1987	"1,400,000"	short t	0.18	unk	2.6	unk	unk		"Bundtzen and others, 1996"			no	no	no	no	no	no	"1,300"	7.6	unk	33	unk	unk	AKSK	AK534	82					
Zarembo Island	Petersburg - Sumdum	Skagway-Yakutat-Angoon	AK	-132.943	56.284	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide			no		no	no	no	no	no				"1,200,000"	short t	0.005	2.5	0.04	0.3	0.01		"Newberry and others, 1997"			no	no	no	no	no	no	"1,100"	0.2	93	neg	4	neg								
Hog Mountain	Yates	Tallapoosa	AL	-85.851	33.076	36a	Low-sulfide Au-quartz vein			Low sulfide Au-quartz vein	1839	1844-1937	"187,000"	short t	"24,000"	"4,000"	"42,000"	unk	unk	"Bismuth, manganese, arsenic"	"Pardee and Park, 1948; in part estimated from Johnson 1936, 1937"	1978	"3,000,000"	short t	0.08 - 0.1	unk	unk	unk	unk		"Paris, 1985"	"Small quantities of Pb, Bi, Mn, and As in ores and concentrates probably recovered at smelter but not reported.  No Zn in cons but reported in ore."		170	0.75	0.12	0	unk	unk	"2,700"	7	unk	unk	unk	unk	LSGQ	SA27	01	700				
Antler	Hualapai	Mohave	AZ	-113.970	34.880	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1879	1918-1970	"78,251"	short t	780	"85,800"	"4,680,000"	"1,170,000"	"10,170,000"		"Donnelly and Conway, 1988"	1987	"5,000,000"	short t	unk	1.05	1.95	0.94	4.13		Standard Metals Corp. 1987 Form 10-K	"An additional 2,500,000 st resource reported in 1979."	Standard Metals - Newmont Gold	71	neg	3	2	1	5	"5,000"	unk	160	88	43	187	KVMS	SB25	02	762				
Ash Peak	Ash Peak	Greenlee	AZ	-109.250	32.760	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal vein"	~1900	1905-1981	"478,000"	short t	"12,300"	"3,185,000"	"72,000"	"59,000"	no	Siliceous flux	"Keith and others, 1983"	1986	"(1) 100,000
 (2) 30,000 "	short t	(1) 0.02	(1) 4.0 (2) 3.0	unk	unk	unk		"Niemuth, 1987"	(1) ore; (2) tailings	Arizona Flux Mines	434	0.4	99	neg	neg	no	120	0	15	unk	unk	unk	QZAD	SB29	11	779				
Bagdad	Eureka	Yavapai	AZ	-113.170	34.580	21a	Porphyry Cu-Mo			Porphyry Cu	1907	1929-1996	"671,500,000"	short t	>231	">1,906,758"	"4,303,980,000"	no	no	"119,502,000 lbs molybdenum"	"Bagdad Copper 1935-71 Annual Reports; Cyprus 1973-96 SEC Form 10K; USBM Minerals Yearbook, 1929-89; PCIA 1979-94"	1996	"1,012,000,000"	short t	unk	unk	0.38	no	no	0.021% Mo	Cyprus-Amax 1996 Form 10K		Cyprus-Amax	"609,200"	>0.007	>59	"1,952"	no	no	"918,000"	unk	unk	"3,489"	no	no	PCU1	SB10	01	706	Yes			Cyprus-Amax SEC Form 10K; PCIA
Blue Bell	Mayer (Big Bug)	Yavapai 	AZ	-112.240	34.340	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1893	1903-1959	"1,012,000"	short t	"45,500"	"1,201,000"	"55,638,000"	no	no		"Colvocoresses, 1938; USBM Minerals Yearbook and Production Data 1903-59."	1955	"150,000"	short t	unk	unk	3.00	no	no		"Cox, 1955a"		 	918	1	37	25	no	no	140	unk	unk	4	no	no	KVMS	SB25	07	767				
Bluebird	Miami-Inspiration	Gila	AZ	-110.904	33.410	17	Porphyry Cu				1863	1968-1982	"48,212,000"	short t	no	no	"214,208,000"	no	no		Ranchers 1978-83 Annual Reports; PCIA 1975-83											Reserves depleted 1983	Cyprus-Amax	"43,737"	no	no	97	no	no														
Bonanza-Golden Eagle	Little Harquahala	La Paz	AZ	-113.580	33.670	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal vein"	1879	1888-1963	"159,000"	short t	"143,000"	"90,000"	"50,000"	"156,000"	no		"Keith and others, 1983"											 	 	144	4	3	neg	neg	no							QZAD	SB29	07	775				
Buckeye East	Copper Butte	Pinal	AZ	-111.090	33.136		Exotic Cu				1901		no		no	no	no	no	no			1988	"20,000,000"	short t	no	unk	0.65	no	no		PCIA 1992		Asarco	no	no	no	no	no	no	"18,000"	no	unk	118	no	no								
Burro Creek	Greenwood	Mohave	AZ	-113.504	34.504		Unclassified					1902-1964	"2,000"	short t	"1,000"	600	400	"1,000"	no		"Keith and others, 1983"	1994	"2,570,000"	short t	0.03	1.00	unk	unk	unk		AMH 1996 entry for ASC Industries	Geologic resource	ASC Industries	2	0.03	0.02	neg	neg	no	"2,300"	2	80	unk	unk	unk								
Carlota-Cactus-Eder	Miami-Inspiration	Gila	AZ	-110.930	33.400		Exotic Cu				1905	1929-1959	"55,500"	short t	3	489	"3,878,000"	no	no			1995	"105,655,000"	short t	neg	unk	0.44	no	no		Cambior Carlota Fact Sheet	Production includes some precipitate copper.	Cambior USA	50	neg	neg	2	no	no	"95,850"	neg	neg	424	no	no	PCU1	SB14	04	723		Being permitted		Cambior annual report; www.cambior.com
Chillito	Banner	Gila	AZ	-110.780	33.070	17	Porphyry Cu			Porphyry Cu	1905	1927-1959	"50,000"	short t	12	"1,055"	"1,468,000"	no	no				"219,000,000"	short t	unk	unk	0.30	no	no		"Long, 1995; PCIA 1991"	 	Asarco	45	neg	neg	1	no	no	"199,000"	unk	unk	596	no	no	PCU1	SB14	09	728			On hold	
Christmas	Banner (Christmas)	Gila	AZ	-110.690	33.070	18a	"Porphyry Cu, skarn-related"			Porphyry Cu	1902	1905-1981	"25,390,000"	short t	">9,000"	">395,000"	"358,254,000"	no	no		"Eastlick, 1968; Inspiration Consolidated Copper 1971-88 SEC Form 10K; PCIA 1975-82; USBM Minerals Yearbook 1911-81"	1981	"27,698,000"	short t	unk	unk	1.47	no	no		Inspiration Consolidated Copper 1981 SEC Form 10K	 	Cyprus-Amax	"23,000"	>0.3	>12	163	no	no	"25,130"	unk	unk	369	no	no	PCU1	SB14	10	729				
Cochise-Lavender	Warren	Cochise	AZ	-109.910	31.430	17	Porphyry Cu		 	Porphyry Cu	1909	1921-1974	">108,000,000"	short t	">68,000"	">1,704,000"	"1,762,419,000"	no	no		USBM Minerals Yearbook 1921-74; Phelps Dodge 1921-1971 Annual Reports	1987	"284,000,000"	short t	unk	unk	0.42	no	no		Phelps Dodge 1987 SEC Form 10K; Long 1995	Resource includes Cochise deposit and estimated remaining resource in Lavender pit.	Phelps Dodge	">98,000"	>2.1	>53	799	no	no	"258,000"	unk	unk	"1,082"	no	no	PCU1	SB14	21	740			Yes	Phelps Dodge SEC Form 10K
Commonwealth	Pearce	Cochise	AZ	-109.810	31.900	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal vein"	1895	1895-1942	"1,523,000"	short t	"130,000"	"12,739,000"	"79,000"	"12,000"	"1,000"		"Keith and others, 1983"	1992	"9,000,000"	short t	0.02	1.50	unk	unk	unk		AMH 1993 entry for DRX	Geologic resource.	Harvest Gold - Atlas	"1,382"	4	396	neg	neg	neg	"8,000"	6	420	unk	unk	unk	PMV	PMVN	55	672			Yes	
Congress	Martinez	Yavapai	AZ	-112.850	34.200		"Vein, Congress-type"	22c	"Vein, polymetallic"		1887	1889-1992	">1,100,000"	short t	"514,000"	">453,000"	"195,492"	"1,595"	no		"Keith and others, 1983; Echo Bay 1988-89 SEC Form 10K; Republic Goldfields 1991-93 Annual Reports"	1992	"650,000"	short t	0.09	unk	unk	unk	unk		Randol 1996 and AMH 1993 entry for Republic Goldfields	"Remaining resource contains about 500,000 st tailing and dump material with 0.06 opt Au."	Republic Goldfields	"1,000"	16	14	neg	neg	no	590	2	unk	unk	unk	unk	PMV	PMVC	03	567	Shut down 1992		Yes	
Continental (CWT)	Pima	Pima	AZ	-111.094	31.941	18b	"Skarn, Cu"			"Cu, Au, and Pb-Zn skarn"	mid-1960s	no	no	no	no	no	no	no	no				"1,200,000"	short t	unk	1.50	1.00	unk	7.00		"Bootprints Symposium field trip guide, Pima District"			no	no	no	no	no	no	"1,089"	unk	56	11	unk	76								
Copper Basin	Copper Basin	Yavapai	AZ	-112.580	34.510	17	Porphyry Cu			Porphyry Cu	1890	1901-1968	"357,000"	short t	500	"45,700"	"19,631,000"	"508,000"	"1,400,000"		"Keith and others, 1983"		"250,000,000"	short t	unk	unk	0.40	no	no		"Long, 1995"	Includes production from associated polymetallic veins.	Phelps Dodge	324	neg	1	9	neg	neg	"227,000"	unk	unk	907	no	no	PCU1	SB10	02	707			Idle	Phelps Dodge SEC Form 10K
Copper Butte	Copper Butte	Pinal	AZ	-111.062	33.149	17	Porphyry Cu			Porphyry Cu	1901	1917-1971	"156,000"	short t	100	"5,000"	"9,155,000"	"2,000"	no		"Keith and others, 1983"	1988	"22,000,000"	short t	unk	unk	1.10	no	no		PCIA 1992		Asarco	142	neg	neg	4	neg	no	"20,000"	unk	unk	220	no	no						Development planned		Asarco SEC Form 10K
Copper Cities-Diamond H	Miami-Inspiration	Gila	AZ	-110.870	33.430	21a	Porphyry Cu-Mo			Porphyry Cu	1913	1954-1982	"122,299,000"	short t	">4,213"	">324,098"	"890,296,000"	no	no	"A little more than 1,482,000 lbs molybdenum"	Cities Service 1973-82 SEC Form 10K; PCIA 1975-82; USBM Minerals Yearbook 1955-82	1994	"104,000,000"	short t	unk	unk	0.20	no	no		Magma Copper 1994 SEC Form 10K	Dump resource.  Does not include low-grade resources at Copper Cities and Diamond H pits.	BHP Copper	"111,000"	unk	unk	404	no	no	"94,000"	unk	unk	189	no	no	PCU1	SB14	01	720	Being filled by reprocessed tailings			
Copper Creek	Bunker Hill	Pinal-Graham	AZ	-110.480	32.750	21a	Porphyry Cu-Mo			Porphyry Cu	by 1863	1905-1975	"483,000"	short t	"1,000"	"190,000"	"27,300,000"	"5,770,000"	no	"4,150,000 lbs molybdenum"	"Keith and others, 1983"		"80,000,000"	short t	unk	unk	0.55	no	no		"Long, 1995"	Includes some production from associated polymetallic veins.	AMT International - BHP Copper	438	neg	6	12	3	no	"73,000"	unk	unk	399	no	no	PCU1	SB14	13	732			Yes	
Copper Queen	Warren 	Cochise	AZ	-109.910	31.430	19a	Polymetallic Replacement			Polymetallic vein and replacement	1876	1880-1996	"60,962,000"	short t	">2,223,552"	">90,981,000"	"6,540,238,000"	"297,557,000"	"364,083,000"	"Some 35,000 long t manganese ore from which 28,000,000 lbs manganese were recovered."	"Long, 1995; USBM Minerals Yearbook and Production Data 1902-89; Phelps Dodge 1979-96 SEC Form 10K"	1975	"1,000,000"	short t	unk	unk	5.50	unk	unk		Phelps Dodge 1975 SEC Form 10K	Production does not include some small producers.	Phelps Dodge	"55,300"	>69	">2,830"	"2,967"	135	165	907	unk	unk	50	unk	unk	PMR1	SB20	03	751				
Copper World	Hualapai	Mohave	AZ	-113.920	34.910	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1890s	1918-1970	"61,000"	short t	neg	"44,400"	"4,400,000"	"13,200,000"	no		"Donnelly and Conway, 1988"													55	neg	1.4	2	no	6							KVMS	SB25	01	761				
Copperstone	Moon Mountains	La Paz	AZ	-114.290	33.870	40a	Detachment-fault-related polymetallic				1980	1987-1993	"6,000,000"	short t	"457,500"	unk	no	no	no		Cyprus-Amax 1989-1994 SEC Form 10K	1997	"2,700,000"	short t	0.18	unk	unk	no	no		"NM 6/9/97, p. 23"	Mineral inventory	Cyprus-Amax - Royal Oak Mines	"5,400"	14	unk	no	no	no	"2,450"	15	unk	unk	no	no	FFTG	FFTG	04	045			Yes	www.royal-oak-mines.com
