Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Kensington - Jualin	Juneau - Admiralty	Juneau	AK	-135.087	58.866	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein	1895	1896-1924	">10,900"	short t	"50,349"	unk	no	no	no		"Bundtzen and others, 1996"	1996	"24,020,000"	short t	0.14	unk	no	no	no		"Coeur d'Alene Mines 1996 SEC Form 10K; Bundtzen and others, 1996"		Coeur d'Alene Mines	>10	1.6	unk	no	no	no	"21,790"	105	unk	no	no	no	AKGQ	AK729	17			Development on hold		Coeur d'Alene Mines SEC Form 10K; www.coeur.com
Khayyam (Kiam)	Ketchikan	Prince of Wales and Outer Ketchikan	AK	-132.388	55.299	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1899	1901-1907	"226,000"	short t	"1,300"	"1,710"	"14,100,000"	unk	unk		"Nokleberg and others, 1987"	1967	"84,000"	short t	0.06	0.3	1.7	unk	0.9		"Bufvers, 1967"			205	0.04	0.5	6.4	unk	unk	76	0.16	0.8	1	unk	1	AKKU	AK666	30					
Kijik River	Iliamna - Bristol Bay	Lake and Peninsula	AK	-154.315	60.353	21a	Porphyry Cu-Mo			Porphyry Cu	early 1900s		no		no	no	no	no	no			1984	"91,000,000"	metric t	unk	unk	up to 0.25	no	no		"Nokleberg and others, 1987"	Up to 0.17% Mo		no	no	no	no	no	no	"91,000"	unk	unk	<227	no	no	AKPC	AK519	39					
Kougarok	Kougarok	Nome	AK	-164.830	65.750	39a	Placer Au-PGE	39e	Placer Sn		1900	1900-1985	"436,000,000"	cu yds	"1,500,000"	unk	no	no	no		"Cobb, 1973; Yeend and Shawe, 1989"		"878,000,000"	cu yds	0.00	unk	no	no	no		"Nokleberg and others, 1987"				46.7	unk	no	no	no		93	unk	no	no	no	AKPL	AK753	51					
Koyuk	Koyuk	Nome	AK	-161.330	65.000	39a	Placer Au-PGE				1899	1899-1968			"52,000"	unk	no	no	no		"Cobb, 1973; Nokleberg and others, 1987"														1.6	unk	no	no	no							AKPL	AK753	52					
Latouche - Beatson 	Hope - Sunrise - Seward	Valdez-Cordova	AK	-147.884	60.045	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1897	1903-1934	"6,000,000"	short t	unk	"1,345,000"	"205,000,000"	no	no		"Nokleberg and others, 1987"		"5,000,000"	short t	unk	unk	1.0	unk	unk	1.5% Pb+Zn	"Bundtzen and others, 1996"			"5,400"	unk	41.9	93	no	no	"4,530"	unk	unk	45	unk	unk	AKBS	AK618	05					
Liberty Bell	Fairbanks	Fairbanks-North Star	AK	-148.850	64.617	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1915	1931-1934	"17,500"	short t	"8,400"	unk	unk	no	no		"Smith and others, 1987"		"91,000"	metric t	34.30	unk	2.0	unk	unk	10% As; Bismuth	"Nokleberg and others, 1987"		Liberty Bell Mining - Black Swan Gold Mines	16	0.3	unk	unk	no	no	91	3.1	unk	2	unk	unk	AKKU	AK663	28				Yes	
Lik - Su	Lisburne	Northwest Arctic	AK	-163.200	68.167	31a	Sedimentary exhalative Zn-Pb			Sedimentary exhalative Zn-Pb-Ag	by 1977		no		no	no	no	no	no				"24,000,000"	short t	unk	1.4	unk	3.1	9.0		"Bundtzen and others, 1996"		Echo Bay - GCO Minerals - Moneta Porcupine Mines	no	no	no	no	no	no	"21,770"	unk	"1,045"	unk	675	1960	AKSX	AK692	87					
Livengood (Tolovana)	Tolovana - Livengood	Yukon-Koyokuk	AK	-148.167	65.500	39a	Placer Au-PGE				1914	1914-1995	"13,000,000"	cu yds	"496,417"	unk	no	no	no		"Bundtzen and others, 1996; Nokleberg and others, 1987"	1980	"24,000,000"	cu yds	0.02	unk	no	no	no		Asamera 1981 Annual Report	"At least 41,512 oz Au produced since 1980."	Livengood Placers - Alaska Placer Development		15.4	unk	no	no	no		14	unk	no	no	no	AKPL	AK754	60		Yes			
Lucky Hill - Gold Hill - Timberline Creek	Nelchina	Matanuska-Susitna	AK	-147.272	62.188	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein			no		no	no	no	no	no				"348,000"	metric t	7.10	unk	no	no	no		"Nokelberg and others, 1993"			no	no	no	no	no	no	348	2.5	unk	no	no	no	AKGQ	AK727	14					
