State,County,Claims,Latitude,Longitude,MTRS
California,Fresno,2,37.134004002,-119.523724738,21 0090S 0220E 024
California,Fresno,2,37.148273171,-119.467932911,21 0090S 0230E 016
California,Fresno,2,37.1486276850001,-119.504932396,21 0090S 0230E 018
California,Fresno,2,37.13343201900009,-119.467944573,21 0090S 0230E 021
California,Fresno,4,37.1187386020001,-119.468125905,21 0090S 0230E 028
California,Fresno,2,37.118902775,-119.48659174299999,21 0090S 0230E 029
California,Fresno,2,37.104129402000105,-119.486347549,21 0090S 0230E 032
California,Fresno,2,37.1041524620001,-119.467814956,21 0090S 0230E 033
California,Fresno,2,37.1621871790001,-119.377733204,21 0090S 0240E 008
California,Fresno,2,37.162073838000005,-119.35977672700001,21 0090S 0240E 009
California,Fresno,1,37.0321337990001,-119.232059487,21 0100S 0250E 027
California,Fresno,1,36.738102745999996,-119.133474237,21 0140S 0260E 003
California,Fresno,1,36.7382879640001,-119.151437073,21 0140S 0260E 004
California,Fresno,2,36.332821896,-120.609093683,21 0180S 0120E 025
California,Fresno,1,36.33292935300009,-120.580315828,21 0180S 0130E 029
California,Fresno,3,36.3192736710001,-120.52642398200001,21 0180S 0130E 035
California,Humboldt,2*,41.258569050281295,-123.632766145262,15 0100N 0050E 017
California,Humboldt,1*,41.2434905567746,-123.65101951131201,15 0100N 0050E 019
California,Humboldt,1*,41.2438208538531,-123.63231826158501,15 0100N 0050E 020
California,Humboldt,1*,41.2132982703183,-123.519418438703,15 0100N 0060E 032
California,Humboldt,4*,41.37617572498579,-123.480679839846,15 0110N 0060E 003
California,Humboldt,8*,41.3758631503423,-123.500098230415,15 0110N 0060E 004
California,Humboldt,1*,41.3609810458659,-123.500014531119,15 0110N 0060E 009
California,Humboldt,2*,41.3463513362539,-123.49994858129801,15 0110N 0060E 016
California,Humboldt,1,41.3319601170001,-123.519024116,15 0110N 0060E 020
California,Humboldt,1*,41.3320491424515,-123.499987172231,15 0110N 0060E 021
California,Imperial,1,33.0340653810001,-114.755994434,27 0130S 0210E 015
California,Imperial,1,33.019527539,-114.75595258700001,27 0130S 0210E 022
California,Imperial,2,32.990686119,-114.805490373,27 0130S 0210E 031
California,Imperial,2,32.990620698,-114.790535455,27 0130S 0210E 032
California,Imperial,1,32.9182163150001,-114.838111401,27 0140S 0200E 026
California,Imperial,5,32.903323594,-114.822084946,27 0140S 0200E 036
California,Imperial,20,32.902999896,-114.80279354,27 0140S 0210E 031
California,Imperial,14,32.9023760750001,-114.783841812,27 0140S 0210E 032
California,Imperial,8,32.90187947,-114.765894661,27 0140S 0210E 033
California,Imperial,2,32.849077865,-116.028467545,27 0150S 0090E 022
California,Imperial,1,32.8490944170001,-116.01124154200001,27 0150S 0090E 023
California,Imperial,11,32.8345993630001,-115.99405051,27 0150S 0090E 025
California,Imperial,13,32.834596085,-116.01123400600001,27 0150S 0090E 026
California,Imperial,7,32.834570103000004,-116.028450742,27 0150S 0090E 027
California,Imperial,2,32.819987897,-116.087408662,27 0150S 0090E 031
California,Imperial,1,32.8200595340001,-116.028430303,27 0150S 0090E 034
California,Imperial,2,32.8200798780001,-116.011228664,27 0150S 0090E 035
California,Imperial,18,32.8200870090001,-115.994045784,27 0150S 0090E 036
California,Imperial,3,32.888383067000106,-114.81827491,27 0150S 0200E 001
California,Imperial,3,32.858877033000105,-114.81825812299999,27 0150S 0200E 013
California,Imperial,1,32.82963884,-114.85326481799999,27 0150S 0200E 027
California,Imperial,5,32.8865437060001,-114.76428472799999,27 0150S 0210E 004
California,Imperial,19,32.886963338,-114.782022384,27 0150S 0210E 005
California,Imperial,8,32.8878816330001,-114.800246051,27 0150S 0210E 006
California,Imperial,4,32.8719601230001,-114.800334261,27 0150S 0210E 007
California,Imperial,3,32.871081137,-114.78156353,27 0150S 0210E 008
California,Imperial,4,32.855710582,-114.763324255,27 0150S 0210E 016
California,Imperial,28,32.8559086710001,-114.78146209100001,27 0150S 0210E 017
California,Imperial,43,32.8565006790001,-114.800228514,27 0150S 0210E 018
California,Imperial,12,32.8408967500001,-114.798732775,27 0150S 0210E 019
