Mine,County,Elevation,Commodity,Latitude,Longitude,MRDS
Babcock,Amador,na,Gold,38.44639,-120.64306,10028320
Contini,Amador,na,Gold,38.38806,-120.66417,10028313
Fort Ann,Amador,2339 Feet,Gold,38.48833,-120.63056,10028300
Golden Treasure,Amador,na,Gold,38.51111,-120.74639,10028284
River Pines Mining Co,Amador,na,Gold,38.54861,-120.74250,10028281
Lorentz Property,Amador,na,Gold,38.54417,-120.78667,10028277
Alphi Alpi,Amador,na,Gold,38.33472,-120.74889,10028265
Reward,Amador,2402 Feet,Gold,38.4214,-120.64030,10232086
South Spring Hill Mine,Amador,1260 Feet,Gold,38.4144,-120.81830,10186908
Bay State,Amador,1001 Feet,Gold,38.5378,-120.84280,10235270
Dredge Tailings,Amador,200 Feet,Gold,38.1717,-120.89390,10259745
Oaks,Amador,na,Gold,38.34722,-120.81194,10028256
Joe Davis,Amador,na,Gold,38.45472,-120.83667,10028151
Atlantic,Amador,na,Gold,38.45417,-120.82889,10028140
Lady Bedford,Amador,na,Gold,38.54583,-120.84167,10028123
Plymouth-Eureka,Amador,1050 Feet,Gold,38.49,-120.86083,10097003
Evans,Amador,na,Gold,38.34028,-120.76111,10097009
Excelsior,Amador,1348 Feet,Gold,38.43167,-120.80750,10028276
Unknown,Amador,na,Gold,38.41656,-120.73416,10028272
Bunker Hill,Amador,na,Gold,38.425,-120.82361,10102591
Tri Mountain,Amador,na,Gold,38.44639,-120.64139,10028321
Velvet,Amador,na,Gold,38.43083,-120.56500,10028353
Isaac Newton,Amador,1099 Feet,Gold,38.32833,-120.75333,10028263
Bay State,Amador,na,Gold,38.53778,-120.84278,10028127
Marklee,Amador,3018 Feet,Gold,38.49444,-120.59889,10028299
Boyson,Amador,na,Gold,38.40861,-120.81389,10091937
Jill,Amador,na,Gold,38.41806,-120.56472,10095071
Dredged Area,Amador,na,Gold,38.345,-120.95694,10028036
Honula,Amador,na,Gold,38.41806,-120.56722,10028357
Elkhorn,Amador,na,Gold,38.42639,-120.56472,10028350
Pendola,Amador,na,Gold,38.36778,-120.78667,10028231
Law Lottier,Amador,na,Gold,38.3275,-120.75917,10028264
Udy,Amador,na,Gold,38.35917,-120.77139,10095059
Allison,Amador,1001 Feet,Gold,38.50611,-120.87889,10095053
Jose Gulch,Amador,1001 Feet,Gold,38.32306,-120.72917,10076476
Crown Point,Amador,na,Gold,38.44333,-120.85444,10028159
Goat Ranch,Amador,na,Gold,38.54778,-120.84583,10034500
Burlington,Amador,na,Gold,38.40222,-120.77111,10028206
Occident,Amador,na,Gold,38.40333,-120.80917,10028218
Delta Placer Gold Co,Amador,na,Gold,38.30556,-120.97222,10109091
Comet,Amador,1201 Feet,Gold,38.40444,-120.80944,10028210
Golden Gate,Amador,na,Gold,38.548,-120.84700,10095045
Dooley Property,Amador,na,Gold Chromium,38.43722,-120.90083,10028114
Frank P. and Annie Dal Porto Property,Amador,na,Gold,38.48167,-120.69417,10028303
White Mountain,Amador,na,Gold,38.45028,-120.80694,10028275
Gold Mountain,Amador,1299 Feet,Gold,38.44694,-120.81194,10028274
Avala,Amador,na,Gold,38.32917,-120.73333,10028269
Consolidated Mc Namara,Amador,na,Gold,38.31111,-120.74917,10028267
R.H.Hingston Ranch,Amador,600 Feet,Gold,38.5219,-120.93560,10235133
Clapboard,Amador,2001 Feet,Gold,38.4472,-120.62560,10235602
Wagon Wheel,Amador,2480 Feet,Gold,38.4614,-120.61940,10284523
Kruger and Vaughn,Amador,840 Feet,Gold,38.3172,-120.75080,10260331
Valpariso,Amador,981 Feet,Gold,38.31056,-120.75306,10028188
