i	dep_id	yr	line	res_nm	res_tp	proved	probable	reserves	meas	indic	demo	infer	tot_resources	tot_endowment	units	best_rec	remrk	inserted_by	insert_date	updated_by	update_date
11228	"10150130"	"1996"	1	""	"In-situ"						3629000		3629000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11229	"10079576"	"1972"	20	""	"In-situ"								86000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11230	"10079576"	"1982"	3	""	"In-situ"								12650000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
11231	"10079576"	"1981"	1	""	"In-situ"								10400000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11232	"10299941"	"1976"	1	""	"In-situ"				45		45		45		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11233	"10059977"	"1981"	1	""	"In-situ"								16500000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11234	"10124835"	"1984"	2	""	"In-situ"				39283000	39283000	78566000	39283000	117849000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11235	"10124835"	"1990"	3	""	"In-situ"								58060800		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	""	""
11236	"10124835"	"0"	4	""	"In-situ"						58000000		58000000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11237	"10124835"	"1995"	5	""	"In-situ"						10277000		10277000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11238	"10124835"	"1996"	6	""	"In-situ"				10886000		10886000		10886000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11239	"10085216"	"1987"	1	""	"In-situ"								38300000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11240	"10124835"	"2009"	1	""	"In-situ"			9434721		17400000					"mt ore"	"Y"	"Data from http://www.revettminerals.com/revProReserves.php\nReserves given in English Units (CIM standards):\nReserves (Proven & Probable): 10.4 million tons @ 1.19opt Ag & 0.57% Cu (as of 12.31.08)\nSilver: 12.4 million ounces\nCopper: 117.7 million pounds\nProven is 4,000,000 tons at 1.34 oz/t Ag, 0.69% Cu\nProbable is 6,400,000 tons at 1.10 oz/t Ag, 0.49% Cu\nMeasured is 42,200,000 tons at 1.42 oz/t Ag, 0.70% Cu\nIndicated is 17,400,000 tons at 0.99 oz/t Ag, 0.44% Cu"	"DCAUSEY"	"23-JUL-09"	"DCAUSEY"	"07-JAN-10"
11241	"10255257"	"1965"	4	""	"In-situ"				6800000		6800000		6800000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11242	"10255257"	"1965"	3	""	"In-situ"				7590000		7590000		7590000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11243	"10255257"	"1965"	2	""	"In-situ"				10580000		10580000		10580000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11244	"10255257"	"1976"	1	""	"In-situ"				6524000		6524000		6524000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11245	"10068797"	"1987"	22	""	"In-situ"								277179000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11246	"10006449"	"1985"	22	""	"Tailings"								4383324000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11247	"10006449"	"1985"	20	""	"Tailings"								470898000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11248	"10184177"	"1978"	1	""	"In-situ"					300000000	300000000		300000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11249	"10024989"	"1984"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11250	"10049236"	"1961"	1	""	"In-situ"								556000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11251	"10061684"	"1984"	1	""	"In-situ"								3000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11252	"10067128"	"1986"	1	""	"In-situ"								3510000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11253	"10040066"	"1947"	1	""	"In-situ"								400000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11254	"10006473"	"1978"	24	""	"In-situ"								34554000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
