gid,state,county,ftr_type,ftr_name,ftr_azimut,topo_name,topo_date,topo_scale,compiledby,remarks,gda_id,scanid,dir,longitude,latitude
52345,CA,Siskiyou,"Gravel Pit",,0,"Fort Jones",1984,24000,"CA Dept Conserv",,5514055,290619,,-122.8655028359999,41.61042444200007
52347,CA,Siskiyou,"Gravel Pit",,0,"Fort Jones",1984,24000,"CA Dept Conserv",,5514055,290619,,-122.8643738589999,41.60513649000006
58725,CA,Siskiyou,"Mine Shaft","Black Wonder Mine",0,"Fort Jones",1979,24000,USGS,,5514053,290618,,-122.79149764099992,41.61025921600009
50454,CA,Siskiyou,"Borrow Pit",,0,"Sheepy Lake",1985,24000,"CA Dept Conserv",,5658007,295177,,-121.8390188429999,41.99580001000004
58733,CA,Siskiyou,"Mine Shaft","Father & Son Mine",0,"Fort Jones",1979,24000,USGS,,5514053,290618,,-122.83437211199993,41.57103341700008
58738,CA,Siskiyou,"Mine Shaft",,0,Greenview,1984,24000,"CA Dept Conserv",,5514823,291013,,-122.9338708709999,41.57464254100006
50646,CA,Siskiyou,"Cinder Pit",,0,"Sheepy Lake",1985,24000,"CA Dept Conserv",,5658007,295177,,-121.8076221099999,41.91291365700005
489679,CA,Siskiyou,Adit,,136,"Fort Jones",1955,62500,USGS,,5501793,297493,se,-122.94073603899994,41.58042606200007
489785,CA,Siskiyou,Adit,"Pegleg Mine",145,Yreka,1954,62500,USGS,,5505197,302030,se,-122.72884769799992,41.62999926800006
489824,CA,Siskiyou,Adit,,131,"Fort Jones",1955,62500,USGS,,5501793,297493,se,-122.94541303699992,41.60115217200007
489924,CA,Siskiyou,Adit,,132,Yreka,1954,62500,USGS,,5505197,302030,se,-122.72789496199994,41.62405632600007
489939,CA,Siskiyou,Adit,,130,"Fort Jones",1955,62500,USGS,,5501793,297493,se,-122.9413737349999,41.580045348000056
489850,CA,Siskiyou,Adit,"Fino Mine",164,"Fort Jones",1955,62500,USGS,,5501793,297493,s,-122.92769849599989,41.580496494000045
489557,CA,Siskiyou,Adit,,219,"Fort Jones",1955,62500,USGS,,5501793,297493,sw,-122.93188158899994,41.57824076500009
489588,CA,Siskiyou,Adit,,222,"Fort Jones",1955,62500,USGS,,5501793,297493,sw,-122.92958064999993,41.59130638600004
489621,CA,Siskiyou,Adit,,245,"Fort Jones",1955,62500,USGS,,5501793,297493,sw,-122.93539843199994,41.58686869100006
489711,CA,Siskiyou,Adit,,214,"Fort Jones",1955,62500,USGS,,5501793,297493,sw,-122.9312391339999,41.57824076500009
489823,CA,Siskiyou,Adit,,215,"Fort Jones",1955,62500,USGS,,5501793,297493,sw,-122.93078227799992,41.584451158000036
489992,CA,Siskiyou,Adit,"Golden Seal Mine",209,"Fort Jones",1955,62500,USGS,,5501793,297493,sw,-122.93163888399994,41.58216687600009
48546,CA,Siskiyou,Adit,,269,Greenview,1984,24000,"CA Dept Conserv",,5514823,291013,w,-122.9347574819999,41.59478308000007
48670,CA,Siskiyou,Adit,"Gold King Mine",289,"Fort Jones",1979,24000,USGS,,5514053,290618,w,-122.77206252899992,41.59274232200005
48794,CA,Siskiyou,Adit,,268,Greenview,1984,24000,"CA Dept Conserv",,5514823,291013,w,-122.9349454959999,41.59453631800005
489757,CA,Siskiyou,Adit,,284,"Fort Jones",1955,62500,USGS,,5501793,297493,w,-122.93261446299994,41.59292441900004
489769,CA,Siskiyou,Adit,"Umpah Mine",274,"Fort Jones",1955,62500,USGS,,5501793,297493,w,-122.93671903299992,41.58516737600007
48551,CA,Siskiyou,Adit,"Johnson Mine",328,Greenview,1984,24000,"CA Dept Conserv",,5514823,291013,nw,-122.93281161099992,41.572367246000056
48616,CA,Siskiyou,Adit,,328,Greenview,1984,24000,"CA Dept Conserv",,5514823,291013,nw,-122.93710546999989,41.57840776000006
48663,CA,Siskiyou,Adit,"Gibraltar Mine",296,Greenview,1984,24000,"CA Dept Conserv",,5514823,291013,nw,-122.9379802489999,41.57739920000006
48694,CA,Siskiyou,Adit,"Star Mine",328,Greenview,2001,24000,USGS,,5514821,102272,nw,-122.9332163659999,41.58691057700008
48823,CA,Siskiyou,Adit,,337,Greenview,1984,24000,"CA Dept Conserv",,5514823,291013,nw,-122.95293515799995,41.59566980800008
